,title,Posted-Date,Job_Description,url,JobType,Tokenized_Job_Description
0,Commercial Painters needed ASAP at our Dallas/Fort Worth Office,2022-06-17,rapidly growing national printing mailing company is seeking administrative assistant light computer work answering calls light customer service and inventory reconciliation will work in coordination with our customer service manager must be familiar with outlook excel and windows 10 low stress good environment apply in person ask for tommy danny or brett cfc print mail 2800 113th st suite 300 grand prairie tx 75050 this position will fill quickly,"""""""https://dallas.craigslist.org/dal/lab/d/fort-worth-commercial-painters-needed/7497571674.html"""""",",Retail,"['rapidly', 'growing', 'national', 'printing', 'mailing', 'company', 'is', 'seeking', 'administrative', 'assistant', 'light', 'computer', 'work', 'answering', 'calls', 'light', 'customer', 'service', 'and', 'inventory', 'reconciliation', 'will', 'work', 'in', 'coordination', 'with', 'our', 'customer', 'service', 'manager', 'must', 'be', 'familiar', 'with', 'outlook', 'excel', 'and', 'windows', '10', 'low', 'stress', 'good', 'environment', 'apply', 'in', 'person', 'ask', 'for', 'tommy', 'danny', 'or', 'brett', 'cfc', 'print', 'mail', '2800', '113th', 'st', 'suite', '300', 'grand', 'prairie', 'tx', '75050', 'this', 'position', 'will', 'fill', 'quickly']"
1,Nightclub Jobs -Model/Servers- Cash Daily,2022-06-16,looking for experienced hvac installer for temporary project i could pay by hour or some of job out it is primarily sheet metal duct,"""""""https://dallas.craigslist.org/dal/fbh/d/dallas-nightclub-jobs-model-servers/7497567877.html"""""",",Retail,"['looking', 'for', 'experienced', 'hvac', 'installer', 'for', 'temporary', 'project', 'i', 'could', 'pay', 'by', 'hour', 'or', 'some', 'of', 'job', 'out', 'it', 'is', 'primarily', 'sheet', 'metal', 'duct']"
2,Nightclub Jobs -Model Servers- Cash Daily,2022-06-16,modelservers we re currently looking to hire fun energized and dedicated modelservers to join our team make avg of 300 to 500 per shift in cash if your interested in working with us and believe that you d be strong asset to our club we ll train you to have knowledge of beverages and food service will be expected to serve guests in timely manner with great attitude if your wanting job that leads to better job like bartender or door hostess please stop by from 11am to 11pm ask for manager or apply online must be 21 and up to apply must be available weekends entertainers dancers new entertainers make average of 800 to 2000 per day make money anytime or as many hours as you want whether it be one day week or five you make your own hours to fit your busy life we re flexible with any hours you needs must be outgoing friendly no experience necessary we train on buddy system here so all new entertainers are paired with mentor just stop by for tour of club also hiring for barbacks floorman doorman apply in person between hours of 11am11pm for tour of club ask for dance manager 10601 plano rd dallas tx 752382143416643 garland richardson mesquite east dallas plano allan mckinney longview tyler wylie sashse rowlett rockwall tyler sherman gentlemans club strip club sports bar bar stripclub,"""""""https://dallas.craigslist.org/dal/ret/d/dallas-nightclub-jobs-model-servers/7497567412.html"""""",",Retail,"['modelservers', 'we', 're', 'currently', 'looking', 'to', 'hire', 'fun', 'energized', 'and', 'dedicated', 'modelservers', 'to', 'join', 'our', 'team', 'make', 'avg', 'of', '300', 'to', '500', 'per', 'shift', 'in', 'cash', 'if', 'your', 'interested', 'in', 'working', 'with', 'us', 'and', 'believe', 'that', 'you', 'd', 'be', 'strong', 'asset', 'to', 'our', 'club', 'we', 'll', 'train', 'you', 'to', 'have', 'knowledge', 'of', 'beverages', 'and', 'food', 'service', 'will', 'be', 'expected', 'to', 'serve', 'guests', 'in', 'timely', 'manner', 'with', 'great', 'attitude', 'if', 'your', 'wanting', 'job', 'that', 'leads', 'to', 'better', 'job', 'like', 'bartender', 'or', 'door', 'hostess', 'please', 'stop', 'by', 'from', '11am', 'to', '11pm', 'ask', 'for', 'manager', 'or', 'apply', 'online', 'must', 'be', '21', 'and', 'up', 'to', 'apply', 'must', 'be', 'available', 'weekends', 'entertainers', 'dancers', 'new', 'entertainers', 'make', 'average', 'of', '800', 'to', '2000', 'per', 'day', 'make', 'money', 'anytime', 'or', 'as', 'many', 'hours', 'as', 'you', 'want', 'whether', 'it', 'be', 'one', 'day', 'week', 'or', 'five', 'you', 'make', 'your', 'own', 'hours', 'to', 'fit', 'your', 'busy', 'life', 'we', 're', 'flexible', 'with', 'any', 'hours', 'you', 'needs', 'must', 'be', 'outgoing', 'friendly', 'no', 'experience', 'necessary', 'we', 'train', 'on', 'buddy', 'system', 'here', 'so', 'all', 'new', 'entertainers', 'are', 'paired', 'with', 'mentor', 'just', 'stop', 'by', 'for', 'tour', 'of', 'club', 'also', 'hiring', 'for', 'barbacks', 'floorman', 'doorman', 'apply', 'in', 'person', 'between', 'hours', 'of', '11am11pm', 'for', 'tour', 'of', 'club', 'ask', 'for', 'dance', 'manager', '10601', 'plano', 'rd', 'dallas', 'tx', '752382143416643', 'garland', 'richardson', 'mesquite', 'east', 'dallas', 'plano', 'allan', 'mckinney', 'longview', 'tyler', 'wylie', 'sashse', 'rowlett', 'rockwall', 'tyler', 'sherman', 'gentlemans', 'club', 'strip', 'club', 'sports', 'bar', 'bar', 'stripclub']"
3,"Make Money, Save on Gas",2022-06-16,2 day business to listen to my audio overview again mygassavingsinfo here s how to build substantial business from home in next 2 days next step is to go here gasmoneyinfo and watch videos then sign up and let s rock this or call me with questions,"""""""https://dallas.craigslist.org/dal/sls/d/brooklyn-make-money-save-on-gas/7497541671.html"""""",",Gossip – Politics,"['2', 'day', 'business', 'to', 'listen', 'to', 'my', 'audio', 'overview', 'again', 'mygassavingsinfo', 'here', 's', 'how', 'to', 'build', 'substantial', 'business', 'from', 'home', 'in', 'next', '2', 'days', 'next', 'step', 'is', 'to', 'go', 'here', 'gasmoneyinfo', 'and', 'watch', 'videos', 'then', 'sign', 'up', 'and', 'let', 's', 'rock', 'this', 'or', 'call', 'me', 'with', 'questions']"
4,PRINTING - 1st shift,2022-06-16,cdl class full time local regional driver needed in dallas fort worth area must have at least 2 years of experience clean record pay 28hr please reply to email if you are interested or call text seven seven three 5502365 violet in spanish call 909 6442276 martin thank you violet,"""""""https://dallas.craigslist.org/mdf/mnu/d/printing-1st-shift/7497536820.html"""""",",Jobs – IT,"['cdl', 'class', 'full', 'time', 'local', 'regional', 'driver', 'needed', 'in', 'dallas', 'fort', 'worth', 'area', 'must', 'have', 'at', 'least', '2', 'years', 'of', 'experience', 'clean', 'record', 'pay', '28hr', 'please', 'reply', 'to', 'email', 'if', 'you', 'are', 'interested', 'or', 'call', 'text', 'seven', 'seven', 'three', '5502365', 'violet', 'in', 'spanish', 'call', '909', '6442276', 'martin', 'thank', 'you', 'violet']"
5,Admin Assistant,2022-06-16,necesito personal de limpieza con o sin experiencia pago semanalmente trabajo de 830 5,"""""""https://dallas.craigslist.org/mdf/ofc/d/grand-prairie-admin-assistant/7497536082.html"""""",",Jobs – IT,"['necesito', 'personal', 'de', 'limpieza', 'con', 'o', 'sin', 'experiencia', 'pago', 'semanalmente', 'trabajo', 'de', '830', '5']"
6,class A CDL  Truck Driver,2022-06-16,seeking licensed ac company in dallas area capable of quoting 3 ac install jobs day plus installing 5 systems week we are home energy marketing and referral business with many years in industry we ve expanded to local market and have customer referrals for new ac retrofitsinstalls in dallas and suburbs we send phone calls and form appointment requests directly to your office these are highquality leads of active buyers looking for new ac systems they are only sent to you every time you install one of these systems you pay us referral fee of 960 only pay on systems that are sold and installed no upfront cost to you you collect payment from customer we invoice you after each sale to keep leads flowing to your business you must be scheduling and closing sales at aboveaverage pace requirements • state hvac license • competitive pricing • customer financing • offer popular brands • have sales closers • be able to handle 3 quote appts day • dedicated customer service people answering phones • be able to offer sameday appointments for quotes • be able to do sameday or early nextmorning installs customers are in dallas and suburbs let us know what you can cover areas available throughout state if interested please complete this form and we ll get back to you quickly,"""""""https://dallas.craigslist.org/mdf/trp/d/coppell-class-cdl-truck-driver/7497528121.html"""""",",Retail,"['seeking', 'licensed', 'ac', 'company', 'in', 'dallas', 'area', 'capable', 'of', 'quoting', '3', 'ac', 'install', 'jobs', 'day', 'plus', 'installing', '5', 'systems', 'week', 'we', 'are', 'home', 'energy', 'marketing', 'and', 'referral', 'business', 'with', 'many', 'years', 'in', 'industry', 'we', 've', 'expanded', 'to', 'local', 'market', 'and', 'have', 'customer', 'referrals', 'for', 'new', 'ac', 'retrofitsinstalls', 'in', 'dallas', 'and', 'suburbs', 'we', 'send', 'phone', 'calls', 'and', 'form', 'appointment', 'requests', 'directly', 'to', 'your', 'office', 'these', 'are', 'highquality', 'leads', 'of', 'active', 'buyers', 'looking', 'for', 'new', 'ac', 'systems', 'they', 'are', 'only', 'sent', 'to', 'you', 'every', 'time', 'you', 'install', 'one', 'of', 'these', 'systems', 'you', 'pay', 'us', 'referral', 'fee', 'of', '960', 'only', 'pay', 'on', 'systems', 'that', 'are', 'sold', 'and', 'installed', 'no', 'upfront', 'cost', 'to', 'you', 'you', 'collect', 'payment', 'from', 'customer', 'we', 'invoice', 'you', 'after', 'each', 'sale', 'to', 'keep', 'leads', 'flowing', 'to', 'your', 'business', 'you', 'must', 'be', 'scheduling', 'and', 'closing', 'sales', 'at', 'aboveaverage', 'pace', 'requirements', 'state', 'hvac', 'license', 'competitive', 'pricing', 'customer', 'financing', 'offer', 'popular', 'brands', 'have', 'sales', 'closers', 'be', 'able', 'to', 'handle', '3', 'quote', 'appts', 'day', 'dedicated', 'customer', 'service', 'people', 'answering', 'phones', 'be', 'able', 'to', 'offer', 'sameday', 'appointments', 'for', 'quotes', 'be', 'able', 'to', 'do', 'sameday', 'or', 'early', 'nextmorning', 'installs', 'customers', 'are', 'in', 'dallas', 'and', 'suburbs', 'let', 'us', 'know', 'what', 'you', 'can', 'cover', 'areas', 'available', 'throughout', 'state', 'if', 'interested', 'please', 'complete', 'this', 'form', 'and', 'we', 'll', 'get', 'back', 'to', 'you', 'quickly']"
7,Hvac commercial installers,2022-06-16,looking for experienced hvac installer for temporary project i could pay by hour or some of job out it is primarily sheet metal duct,"""""""https://dallas.craigslist.org/ftw/trd/d/arlington-hvac-commercial-installers/7497525027.html"""""",",Retail,"['looking', 'for', 'experienced', 'hvac', 'installer', 'for', 'temporary', 'project', 'i', 'could', 'pay', 'by', 'hour', 'or', 'some', 'of', 'job', 'out', 'it', 'is', 'primarily', 'sheet', 'metal', 'duct']"
8,CDL TRUCK DRIVER NEEDED (DALLAS/FORT WORTH),2022-06-16,schaper company is looking for commercial painters at our dallasfort worth area office looking for committed and hardworking crew members to join our team must have minimum of 5 years experience commercial painting andor water proofing please do not contact us if you do not have painting experience be willing to work nights weekends and holidays as needed willing to travel when necessary will be compensated per diem and paid travel expenses must have basic painting tools must be able to drive scissor lift and boom lift be punctual reliable trustworthy and organized have valid driver s license insurance and clean driving record must have your own hand tools reliable transportation competitive pay for right person paid weekly company sponsored benefits please call or text ed at 4085919037,"""""""https://dallas.craigslist.org/ftw/trp/d/fort-worth-cdl-truck-driver-needed/7497523196.html"""""",",Retail,"['schaper', 'company', 'is', 'looking', 'for', 'commercial', 'painters', 'at', 'our', 'dallasfort', 'worth', 'area', 'office', 'looking', 'for', 'committed', 'and', 'hardworking', 'crew', 'members', 'to', 'join', 'our', 'team', 'must', 'have', 'minimum', 'of', '5', 'years', 'experience', 'commercial', 'painting', 'andor', 'water', 'proofing', 'please', 'do', 'not', 'contact', 'us', 'if', 'you', 'do', 'not', 'have', 'painting', 'experience', 'be', 'willing', 'to', 'work', 'nights', 'weekends', 'and', 'holidays', 'as', 'needed', 'willing', 'to', 'travel', 'when', 'necessary', 'will', 'be', 'compensated', 'per', 'diem', 'and', 'paid', 'travel', 'expenses', 'must', 'have', 'basic', 'painting', 'tools', 'must', 'be', 'able', 'to', 'drive', 'scissor', 'lift', 'and', 'boom', 'lift', 'be', 'punctual', 'reliable', 'trustworthy', 'and', 'organized', 'have', 'valid', 'driver', 's', 'license', 'insurance', 'and', 'clean', 'driving', 'record', 'must', 'have', 'your', 'own', 'hand', 'tools', 'reliable', 'transportation', 'competitive', 'pay', 'for', 'right', 'person', 'paid', 'weekly', 'company', 'sponsored', 'benefits', 'please', 'call', 'or', 'text', 'ed', 'at', '4085919037']"
9,WAREHOUSE $17.25 - F/PT and 4 day work week Grapevine/Arlington/Irving,2022-06-16,class cdl driver needed full time employment two years driving experiencehome every day good pay,"""""""https://dallas.craigslist.org/mdf/lab/d/grapevine-warehouse-pt-and-day-work/7497512170.html"""""",",Retail,"['class', 'cdl', 'driver', 'needed', 'full', 'time', 'employment', 'two', 'years', 'driving', 'experiencehome', 'every', 'day', 'good', 'pay']"
